,Time,Device ID,Device ID_Unit,Warm?,Sync,Arm,Arm_Unit,Timestamp,Timestamp_Unit,Orientation_W,Orientation_W_Unit,Orientation_X,Orientation_X_Unit,Orientation_Y,Orientation_Y_Unit,Orientation_Z,Orientation_Z_Unit,Acc_X,Acc_X_Unit,Acc_Y,Acc_Y_Unit,Acc_Z,Acc_Z_Unit,Gyro_X,Gyro_X_Unit,Gyro_Y,Gyro_Y_Unit,Gyro_Z,Gyro_Z_Unit,Pose,Pose_Unit,EMG_1,EMG_1_Unit,EMG_2,EMG_2_Unit,EMG_3,EMG_3_Unit,EMG_4,EMG_4_Unit,EMG_5,EMG_5_Unit,EMG_6,EMG_6_Unit,EMG_7,EMG_7_Unit,EMG_8,EMG_8_Unit,Locked,RSSI,RSSI_Unit,Roll,Roll_Unit,Pitch,Pitch_Unit,Yaw,Yaw_Unit,type,channel_count,nominal_srate,channel_format,source_id,version,created_at,uid,session_id,hostname,v4address,v4data_port,v4service_port,v6address,v6data_port,v6service_port,stream_id,effective_srate
0,1347.5806084710132,1431244600000.0,Number,0.0,1.0,1.0,Arm,1347.5897,Time,0.82855225,Degrees,0.11419678,Degrees,-0.02709961,Degrees,-0.5474243,Degrees,-0.08935547,g,0.21728516,g,0.97558594,g,-0.6875,Degrees,-0.6875,Degrees,-0.5625,Degrees,-1.0,Pose,-2.0,mVolts,0.0,mVolts,0.0,mVolts,3.0,mVolts,2.0,mVolts,-3.0,mVolts,-2.0,mVolts,-1.0,mVolts,0.0,0.0,Strength,0.22141705,Degrees,0.08020727,Degrees,-1.1587507,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,531.90192330000002,abcd5425-abe8-4d84-a6f1-2c6f1e4be6af,default,MICHAELLAPTOP,,16573,16573,,16573,16573,2,199.50778663602122
1,1347.5856208297637,1431244600000.0,Number,0.0,1.0,1.0,Arm,1347.5901,Time,0.82855225,Degrees,0.11419678,Degrees,-0.02709961,Degrees,-0.5474243,Degrees,-0.08935547,g,0.21728516,g,0.97558594,g,-0.6875,Degrees,-0.6875,Degrees,-0.5625,Degrees,-1.0,Pose,-2.0,mVolts,-1.0,mVolts,-2.0,mVolts,-3.0,mVolts,0.0,mVolts,5.0,mVolts,0.0,mVolts,-1.0,mVolts,0.0,0.0,Strength,0.22141705,Degrees,0.08020727,Degrees,-1.1587507,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,531.90192330000002,abcd5425-abe8-4d84-a6f1-2c6f1e4be6af,default,MICHAELLAPTOP,,16573,16573,,16573,16573,2,199.50778663602122
2,1347.590633188514,1431244600000.0,Number,0.0,1.0,1.0,Arm,1347.5907,Time,0.8284912,Degrees,0.11425781,Degrees,-0.027160645,Degrees,-0.54748535,Degrees,-0.08642578,g,0.21240234,g,0.97216797,g,1.0,Degrees,-0.625,Degrees,-0.625,Degrees,-1.0,Pose,0.0,mVolts,-1.0,mVolts,0.0,mVolts,2.0,mVolts,-2.0,mVolts,-1.0,mVolts,0.0,mVolts,2.0,mVolts,0.0,0.0,Strength,0.22157866,Degrees,0.08019016,Degrees,-1.1589003,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,531.90192330000002,abcd5425-abe8-4d84-a6f1-2c6f1e4be6af,default,MICHAELLAPTOP,,16573,16573,,16573,16573,2,199.50778663602122
3,1347.5956455472644,1431244600000.0,Number,0.0,1.0,1.0,Arm,1347.591,Time,0.8284912,Degrees,0.11425781,Degrees,-0.027160645,Degrees,-0.54748535,Degrees,-0.08642578,g,0.21240234,g,0.97216797,g,1.0,Degrees,-0.625,Degrees,-0.625,Degrees,-1.0,Pose,1.0,mVolts,-2.0,mVolts,-1.0,mVolts,-2.0,mVolts,-3.0,mVolts,-2.0,mVolts,-3.0,mVolts,-1.0,mVolts,0.0,0.0,Strength,0.22157866,Degrees,0.08019016,Degrees,-1.1589003,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,531.90192330000002,abcd5425-abe8-4d84-a6f1-2c6f1e4be6af,default,MICHAELLAPTOP,,16573,16573,,16573,16573,2,199.50778663602122
4,1347.600657906015,1431244600000.0,Number,0.0,1.0,1.0,Arm,1347.603,Time,0.8284912,Degrees,0.11425781,Degrees,-0.027160645,Degrees,-0.54748535,Degrees,-0.08642578,g,0.21240234,g,0.97216797,g,1.0,Degrees,-0.625,Degrees,-0.625,Degrees,-1.0,Pose,-1.0,mVolts,0.0,mVolts,-4.0,mVolts,2.0,mVolts,2.0,mVolts,6.0,mVolts,-4.0,mVolts,-1.0,mVolts,0.0,0.0,Strength,0.22157866,Degrees,0.08019016,Degrees,-1.1589003,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,531.90192330000002,abcd5425-abe8-4d84-a6f1-2c6f1e4be6af,default,MICHAELLAPTOP,,16573,16573,,16573,16573,2,199.50778663602122
5,1347.6056702647654,1431244600000.0,Number,0.0,1.0,1.0,Arm,1347.6042,Time,0.8284912,Degrees,0.11425781,Degrees,-0.027160645,Degrees,-0.54748535,Degrees,-0.08642578,g,0.21240234,g,0.97216797,g,1.0,Degrees,-0.625,Degrees,-0.625,Degrees,-1.0,Pose,-1.0,mVolts,-3.0,mVolts,0.0,mVolts,-3.0,mVolts,-2.0,mVolts,-4.0,mVolts,0.0,mVolts,1.0,mVolts,0.0,0.0,Strength,0.22157866,Degrees,0.08019016,Degrees,-1.1589003,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,531.90192330000002,abcd5425-abe8-4d84-a6f1-2c6f1e4be6af,default,MICHAELLAPTOP,,16573,16573,,16573,16573,2,199.50778663602122
6,1347.6106826235157,1431244600000.0,Number,0.0,1.0,1.0,Arm,1347.6101,Time,0.8284912,Degrees,0.11456299,Degrees,-0.02722168,Degrees,-0.54748535,Degrees,-0.08886719,g,0.21875,g,0.9667969,g,1.3125,Degrees,0.0,Degrees,0.3125,Degrees,-1.0,Pose,0.0,mVolts,0.0,mVolts,0.0,mVolts,0.0,mVolts,-1.0,mVolts,0.0,mVolts,0.0,mVolts,1.0,mVolts,0.0,0.0,Strength,0.22217123,Degrees,0.08042394,Degrees,-1.1589187,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,531.90192330000002,abcd5425-abe8-4d84-a6f1-2c6f1e4be6af,default,MICHAELLAPTOP,,16573,16573,,16573,16573,2,199.50778663602122
7,1347.6156949822662,1431244600000.0,Number,0.0,1.0,1.0,Arm,1347.6105,Time,0.8284912,Degrees,0.11456299,Degrees,-0.02722168,Degrees,-0.54748535,Degrees,-0.08886719,g,0.21875,g,0.9667969,g,1.3125,Degrees,0.0,Degrees,0.3125,Degrees,-1.0,Pose,-2.0,mVolts,1.0,mVolts,0.0,mVolts,-2.0,mVolts,-2.0,mVolts,0.0,mVolts,-1.0,mVolts,-3.0,mVolts,0.0,0.0,Strength,0.22217123,Degrees,0.08042394,Degrees,-1.1589187,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,531.90192330000002,abcd5425-abe8-4d84-a6f1-2c6f1e4be6af,default,MICHAELLAPTOP,,16573,16573,,16573,16573,2,199.50778663602122
8,1347.6207073410167,1431244600000.0,Number,0.0,1.0,1.0,Arm,1347.6268,Time,0.8284912,Degrees,0.11456299,Degrees,-0.02722168,Degrees,-0.54748535,Degrees,-0.08886719,g,0.21875,g,0.9667969,g,1.3125,Degrees,0.0,Degrees,0.3125,Degrees,-1.0,Pose,-1.0,mVolts,1.0,mVolts,1.0,mVolts,1.0,mVolts,-2.0,mVolts,-3.0,mVolts,-3.0,mVolts,-2.0,mVolts,0.0,0.0,Strength,0.22217123,Degrees,0.08042394,Degrees,-1.1589187,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,531.90192330000002,abcd5425-abe8-4d84-a6f1-2c6f1e4be6af,default,MICHAELLAPTOP,,16573,16573,,16573,16573,2,199.50778663602122
9,1347.6257196997672,1431244600000.0,Number,0.0,1.0,1.0,Arm,1347.6274,Time,0.8284912,Degrees,0.11456299,Degrees,-0.02722168,Degrees,-0.54748535,Degrees,-0.08886719,g,0.21875,g,0.9667969,g,1.3125,Degrees,0.0,Degrees,0.3125,Degrees,-1.0,Pose,0.0,mVolts,-2.0,mVolts,-3.0,mVolts,2.0,mVolts,-2.0,mVolts,-2.0,mVolts,-2.0,mVolts,-2.0,mVolts,0.0,0.0,Strength,0.22217123,Degrees,0.08042394,Degrees,-1.1589187,Degrees,Misc,29,200,float32,arm-MYO,1.1000000000000001,531.90192330000002,abcd5425-abe8-4d84-a6f1-2c6f1e4be6af,default,MICHAELLAPTOP,,16573,16573,,16573,16573,2,199.50778663602122
